Topic,Count,Name,Representation,Representative_Docs
9,2268,9_x8_find_oppo_pro,"['x8', 'find', 'oppo', 'pro', 'x7', 'con', 'hơn', 'ultra', 'x8s', 'không']","['thích find x8 pro', 'find x8 pro đâu', 'đang dùng find x8']"
10,1894,10_oppo_vivo_hơn_chụp,"['oppo', 'vivo', 'hơn', 'chụp', 'nó', 'mà', 'không', 'có', 'giá', 'ảnh']","['oppo ô xài', 'con oppo đẹp hơn', 'oppo có mà']"
11,1523,11_x200_vivo_mini_pro,"['x200', 'vivo', 'mini', 'pro', 'x200pro', 'x100', 'so', 'con', 'ultra', 'chụp']","['mua vivo x200 pro anh em ạ', 'mua vivo x200', 'vivo x200']"
12,1509,12_xiaomi_phần_không_nó,"['xiaomi', 'phần', 'không', 'nó', 'hãng', 'thông', 'có', 'dùng', 'mà', 'hơn']","['xiaomi ngày càng tốt thiết kế cũng đẹp đúng admin nói flagship bjo đều quá mạnh so nhu cầu sd bình thường hầu hết người dùng nên camera mới cái quan tâm xiaomi làm tốt so hiệu năng giá thành xiaomi ngon bổ rẻ hơn', 'người dùng xiaomi mấy người mua chính hãng v', 'giá bán xiaomi chính hãng tụt do chính xiaomi người dùng xiaomi không ai bỏ tiền ra để mua thêm chính hãng làm gì cả one ui có chắc mượt bằng miui 14 không neutral']"
13,1423,13_samsung_sam_sony_sung,"['samsung', 'sam', 'sony', 'sung', 'samfan', 'iphone', 'đỉnh', 'màn', 'vẫn', 'nhất']","['samsung ngon', 'màn samsung', 'samsung hơn r']"
14,1406,14_120hz_60hz_màn_120,"['120hz', '60hz', 'màn', '120', '60', 'hz', 'mà', 'có', '90hz', 'không']","['120hz người muốn mua pro max neutral nên 60hz thôi', '60hz mượt ngang 120hz', '120hz 60hz chả v']"
15,1381,15_url_token_pro_redmi_13,"['url_token', 'pro', 'redmi', '13', 'note', 'galaxy', 'iqoo', '15', 'gt', 'plus']","['redmi note 13 url_token redmi note 13 pro url_token', 'redmi note 13 pro url_token redmi note 12 turbo url_token', 'redmi note 14 pro url_token redmi note 14 pro plus url_token']"
16,1374,16_tiền_giá_nhiêu_bao,"['tiền', 'giá', 'nhiêu', 'bao', 'mua', 'có', 'ngáo', 'không', 'đắt', 'mà']","['bao nhiêu tiền anh', 'bao nhiêu tiền', 'bao nhiêu tiền ạ']"
17,1360,17_ram_bản_256_256gb,"['ram', 'bản', '256', '256gb', '128', '128gb', 'nhớ', 'bộ', '512', '8gb']","['apple tào lao qá a dương cứ bảo bộ nhớ 256 thay vì 128 bản pro nhưng giá vẫn 256 năm ngoái nói làm j người dùng không cần dung lượng cao mà họ phải bỏ tiền để mua 256 mà không dùng', '@ bản 8 256 á', 'bộ nhớ 128 ok mà thích 256 bản to thôi bản to có 128 thích hơn']"
18,1211,18_chính_hãng_xách_hàng,"['chính', 'hãng', 'xách', 'hàng', 'tay', 'đâu', 'bán', 'mua', 'shop', 'có']","['xách tay chính hãng', 'bác mua hàng chính hãng hay xách tay', 'hàng chính hãng hay xách tay ạ']"
19,1210,19_mua_5tr_củ_triệu,"['mua', '5tr', 'củ', 'triệu', 'flip', 'gen', '7tr', 'fold', 'giá', '4tr']","['8 triệu mua 9 con r', '6 gen giá 5tr thôi', 'mua đâu 7tr bác mua tgdd 9 củ']"
20,1205,20_em_anh_tầm_tư,"['em', 'anh', 'tầm', 'tư', 'vấn', 'dương', 'nào', 'chúc', 'ơn', 'game']","['em chào a ạ em đang có nhu cầu mua điện thoại mẹ tầm giá dưới 10tr có màn đẹp cam đẹp pin tốt ạ a có thể tư vấn em mua máy nào không ạ em xin cảm ơn', 'chào anh dương chúc anh sức khỏe thành công ạ anh dương tư vấn giúp em em đang định đổi điện thoại mới tài chính em có tầm 10 12tr nhu cầu em chỉ lướt web làm việc mail chat chụp ảnh không chơi game em cảm ơn ạ', 'chào anh dương nhờ anh tư vấn giúp em con điện thoại kích thước tầm 6 1 hơn tí em thích nhỏ gọn nhu cầu em chỉ dùng cơ bản chủ yếu chụp hình quay video nên cần cam tốt chút pin đủ dùng 1 ngày em không chơi game tầm giá em khoảng dưới 11 triệu ạ em cảm ơn anh']"
21,1126,21_neutral_mà_gì_nói,"['neutral', 'mà', 'gì', 'nói', 'thế', 'không', 'nó', 'đâu', 'ifan', 'biết']","['neutral neutral neutral MENTION_vinhxo69', 'MENTION_manhhatran88 neutral neutral neutral ngại gì có tiền mua không neutral neutral neutral', 'neutral neutral neutral neutral MENTION_vinhxo69']"
22,1100,22_dán_ốp_màn_cong,"['dán', 'ốp', 'màn', 'cong', 'cường', 'lực', 'viền', 'cầm', 'mỏng', 'hình']","['ốp có thể không cần nhưng nhất dán thêm cái kính không viền màn iphone dễ xước lắm để túi quần không cũng bị dán vào nhìn đỡ khó chịu positive', 'màn cong dán cường lực khó mà rơi dễ sọc neutral', 'anh dương mọi người nghĩ sao dán cường lực màn hình cong nó có dễ dàng không tốn chi phí không đang định dán đt nhưng mà nó màn hình cong nên cũng không biết dán cường lực có ổn không mong anh giải đáp giúp em em cảm ơn']"
23,945,23_neutral_iphone_ip_apple,"['neutral', 'iphone', 'ip', 'apple', 'samsung', 'xiaomi', 'vẫn', 'fan', 'mà', 'rồi']","['xấu samsung có thật neutral neutral neutral neutral neutral', 'tính năng samsung rồi neutral neutral neutral neutral neutral', 'iphone cái mã neutral neutral neutral neutral neutral neutral']"
24,924,24_a55_a56_a34_a35,"['a55', 'a56', 'a34', 'a35', 'a54', 'a36', 'samsung', 'galaxy', 'mua', 'con']","['mua galaxy a55 ngon hơn positive', 'con samsung a55 nào ổn hơn', 'em mua a55 á']"
25,921,25_reno_oppo_5g_con,"['reno', 'oppo', '5g', 'con', '12', 'giá', '13', 'pro', '14', 'em']","['anh dương làm con oppo reno 7 5g pro giá mới có đang mua không em thấy giá lúc mới ra cao', 'e toàn dùng oppo reno 6 mượt đang tính mua oppo reno 14pro', 'reno 13 trước giá rồi reno 14 cũng giá thôi']"
26,899,26_xiaomi_huawei_đỉnh_đẹp,"['xiaomi', 'huawei', 'đỉnh', 'đẹp', 'hơn', 'âm', 'ngon', 'thu', 'quá', 'nhìn']","['nói không xiaomi', 'xiaomi đẹp', 'mua xiaomi']"
27,875,27_ip_ss_vẫn_hơn,"['ip', 'ss', 'vẫn', 'hơn', 'thua', 'quay', 'mua', 'nó', 'không', 'mà']","['ô mua ip nào ô', 'mua ip mà dùng', 'mua ip']"
28,860,28_positive_quá_đẹp_ơn,"['positive', 'quá', 'đẹp', 'ơn', 'anh', 'cảm', 'tuyệt', 'vời', 'đỉnh', 'hay']","['chuẩn không cần chỉnh positive positive positive positive positive positive positive positive positive positive positive positive', 'positive positive positive positive positive positive positive positive thích lắm luôn á', 'iphone đẹp quá positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive positive']"
29,836,29_màu_đẹp_trắng_xanh,"['màu', 'đẹp', 'trắng', 'xanh', 'vàng', 'đen', 'nhìn', 'quá', 'hồng', 'kế']","['màu đẹp thật', 'màu đẹp quá', 'màu đẹp mà']"
30,826,30_giá_củ_mua_triệu,"['giá', 'củ', 'mua', 'triệu', 'quà', 'chính', 'giảm', 'shopee', 'hãng', 'bán']","['đợt con chính hãng giá chát thế xách tay có 6 củ mà chính hãng hơn 9 củ', 'chính hãng giá tầm 9 10 triệu chứ không', 'giá trên 20 củ chính hãng quá']"
31,692,31_nhôm_titan_khung_thép,"['nhôm', 'titan', 'khung', 'thép', 'viền', 'tróc', 'sơn', 'kim', 'khối', 'nhựa']","['nhôm vẫn nhôm thôi', 'nói thật nhôm nhôm nhôm có hàng không vũ trụ nó vẫn nhôm không bao giờ có chuyện nhôm bền nhôm cứng hơn thép hơn titan nếu hơn thế người ta đ chia nhôm thép ra làm gì neutral neutral', 'nhôm thép titan nhôm']"
32,669,32_báo_rom_thông_chậm,"['báo', 'rom', 'thông', 'chậm', 'trễ', 'địa', 'up', 'nội', 'quốc', 'bị']","['có bị chậm thông báo không a', 'dùng rom gốc có bị trễ hay chậm thông báo gì không', 'dùng rom nội địa bị chậm thông báo không b']"
33,594,33_10_10tr_30_củ,"['10', '10tr', '30', 'củ', '30tr', 'triệu', 'mua', '28', '26', '27']","['còn 10', '10 củ', 'con 10 củ mua']"
34,581,34_pin_nhanh_trâu_chip,"['pin', 'nhanh', 'trâu', 'chip', 'sạc', 'yếu', 'tụt', 'tuột', 'quá', 'hao']","['máy a e pin lâu không chứ thấy nhanh hết pin lắm', 'pin trâu không', 'pin hơn không']"
35,552,35_gen_685_snap_chip,"['gen', '685', 'snap', 'chip', 'mạnh', 'g99', 'snapdragon', 'con', '7s', 'hơn']","['chip snap 685 cùi lắm', 'con g99 4 gen 2 chip nào mạnh hơn anh', 'snap 685 à nội địa lại snap 6 gen 3 cơ']"
36,531,36_neutral_củ_mua_giá,"['neutral', 'củ', 'mua', 'giá', 'triệu', '10', '30', 'con', 'a55', '10tr']","['m đang nói iphone 4 à neutral neutral neutral', '7 củ còn chứ 4 5 neutral neutral', 'neutral neutral 4 thôi']"
37,509,37_màn_cong_hình_dán,"['màn', 'cong', 'hình', 'dán', 'viền', 'cường', 'lực', 'phẳng', 'mỏng', 'dày']","['màn cong khó dán cường lực neutral', 'màn cong quá khó dán cường lực', 'thích màn hình cong hơn']"
38,508,38_game_chơi_nóng_test,"['game', 'chơi', 'nóng', 'test', 'không', 'nhiệt', 'máy', 'anh', 'ổn', 'có']","['chơi game lâu có bị nóng máy không', 'máy chơi game nóng không anh', 'chơi game nó có nóng không']"
39,507,39_negative_quá_ếch_giếng,"['negative', 'quá', 'ếch', 'giếng', 'mua', 'không', 'sao', 'đáy', 'lắm', 'ơi']","['em cũng thấy thế bác ạ negative negative negative', 'kinh negative negative negative', 'máy đẹp quá nhưng em không có tiền negative negative negative negative']"
